Company,description
Valuelabs,IT Services and IT Consulting
,
NIC,Human Resources Services
,
BSNL,Telecommunications
,
PGCL,Business Consulting and Services
,
UpGrad,Higher Education
,
Convergence,IT Services and IT Consulting
,
Gartner,Information Services
,
Forrester,Veterinary Services
,
Cybage,IT Services and IT Consulting
,
IMPETUS,IT Services and IT Consulting
,
IBN,Broadcast Media Production and Distribution
,
Neosoft,IT Services and IT Consulting
,
LUKUP,Online Audio and Video Media
,
SEI,Financial Services
,
VSNL,Civic and Social Organizations
,
Infologic,Software Development
,
NeoAccel,IT Services and IT Consulting
,
Knexus,"Technology, Information and Internet"
,
Mitratech,Software Development
,
Responsys,Software Development
,
Northgate,"Transportation, Logistics, Supply Chain and Storage"
,
Exa,Advertising Services
,
LearningMate,E-Learning Providers
,
Elsevier,IT Services and IT Consulting
,
Reed,Staffing and Recruiting
,
Extramarks,E-Learning Providers
,
Saama,Business Consulting and Services
,
Concepto,Software Development
,
Versa,Entertainment Providers
,
EMC,Business Consulting and Services
,
Lucid,Pharmaceutical Manufacturing
,
ESI,Education Administration Programs
,
Definitics,Consumer Services
,
Magic,"Technology, Information and Internet"
,
EBix,Software Development
,
Unilever,Manufacturing
,
Tecsol,Environmental Services
,
Dreeme,"Technology, Information and Internet"
,
Wiltech,Business Consulting and Services
,
Nesote,Software Development
,
MasterCard,IT Services and IT Consulting
,
Artech,Food and Beverage Manufacturing
,
STPL,IT Services and IT Consulting
,
ACIworldwide,Financial Services
,
Interdin,Financial Services
,
INC,Software Development
,
Basware,IT Services and IT Consulting
,
InnoData,IT Services and IT Consulting
,
Cloudmoyo,IT Services and IT Consulting
,
AbbVie,Pharmaceutical Manufacturing
,
IDC,Market Research
,
WIPO,International Affairs
,
Cablevision,Telecommunications
,
D-Mart,Insurance
,
ForgeAhead,IT Services and IT Consulting
,
Verizon,IT Services and IT Consulting
,
BNYM,Retail
,
UBER,Advertising Services
,
TravelGuru,Travel Arrangements
,
SAS,Software Development
,
Sworx18,"Technology, Information and Internet"
,
Seagate,Entertainment Providers
,
Jawbone,Wellness and Fitness Services
,
Sunlife,Renewable Energy Semiconductor Manufacturing
,
Astute,Financial Services
,
CITYCELL,Telecommunications
,
Searce,Market Research
,
Feecounter,IT Services and IT Consulting
,
iPay,IT Services and IT Consulting
,
OPUS,Software Development
,
Spigit,Software Development
,
DRDO,Airlines and Aviation
,
Symantec,Software Development
,
ONGC,Oil and Gas
,
SIGMA-ALDRICH,Biotechnology Research
,
UNESCO,International Affairs
,
Videocon,Advertising Services
,
Euronet,"Technology, Information and Internet"
,
Hungama,Entertainment Providers
,
Airtel,Telecommunications
,
Zarafa,IT Services and IT Consulting
,
iCrossing,Advertising Services
,
MediaCom,Advertising Services
,
Marlboro,Tobacco Manufacturing
,
NETTECH,Computer Networking Products
,
ONEIC,Investment Management
,
TechM,IT Services
,
MILAGRO,IT Services and IT Consulting
,
Technix,Human Resources Services
,
JetSynthesys,IT Services and IT Consulting
,
zimbra,Software Development
,
Nordstrom,Retail
,
Infobeans,IT Services and IT Consulting
,
MediaOcean,Software Development
,
APTECH,Education Administration Programs
,
IPSOS,Market Research
,
Aetna,Wellness and Fitness Services
,
NEC,IT Services and IT Consulting
,
JACADA,Software Development
,
Unisys,IT Services and IT Consulting
,
KARVY,Financial Services
,
PepsiCo,Food and Beverage Services
,
WellPoint,Insurance
,
Anthem,Insurance
,
Fiserv,IT Services and IT Consulting
,
MindProSoft,IT Services and IT Consulting
,
Creospan,IT Services and IT Consulting
,
Serene,Hospitality
,
Magna,Advertising Services
,
FIS,IT Services and IT Consulting
,
CGI,IT Services and IT Consulting
,
SumaSoft,Accounting
,
HGST,Architecture and Planning
,
Delmon,Retail
,
IGB,"Asperg, Baden-W��rttemberg"
,
Saint-Gobain,Wholesale Building Materials
,
Aptify,Software Development
,
Linkedin,"Technology, Information and Internet"
,
Qualcomm,Wireless Services
,
Virtusa,IT Services and IT Consulting
,
SingTel,Telecommunications
,
Innoplexus,IT Services and IT Consulting
,
Saba,Software Development
,
Click2Mail,Advertising Services
,
HCS,Human Resources Services
,
Delloite,"Audit ,Consulting and Financial Advisory,Tax Services"
,
R-interactive,Advertising services
,
HAPPIESTMINDS,IT Services and IT Consulting
,
Metalogix,Medical Equipment Manufacturing
,
McGraw-Hill,Consumer Services
,
Leantaas,"Technology, Information and Internet"
,
SuperValu,Wholesale
,
Telephonica,Telecommunications
,
MTN,Telecommunications
,
GE,Industrial Machinery Manufacturing
,
DELL,IT Services and IT Consulting
,
AJG,Security and Investigations
,
Allianz,Financial Services
,
AGCS,IT Services and IT Consulting
,
OSSCube,Software Development
,
Genpact,IT Services and IT Consulting
,
eBay,"Technology, Information and Internet"
,
lagnam,IT Services and IT Consulting
,
Nvidia,Computer Hardware Manufacturing
,
Talentica,Software Development
,
Wcities,"Technology, Information and Internet"
,
MMC,Executive Offices
,
Tikit,IT Services and IT Consulting
,
Emirates,Airlines and Aviation
,
Toyota,Motor Vehicle Manufacturing
,
DBS,IT Services and IT Consulting
,
Nedbank,Financial Services
,
Fedex,Freight and Package Transportation
,
Aricent,Software Development
,
ABB,"Appliances, Electrical, and Electronics Manufacturing"
,
Loylogic,Advertising Services
,
PTC,Software Development
,
UGB,Higher Education
,
METRICSTREAM,Software Development
,
Puda,Construction
,
Enexion,Utilities
,
Rexel,Wholesale
,
Renault,Motor Vehicle Manufacturing
,
Nokia,Telecommunications
,
3DPLM,IT Services and IT Consulting
,
Pegasus,Entertainment Providers
,
Datamatics,IT Services and IT Consulting
,
EY,Accounting
,
Emerson,Industrial Machinery Manufacturing
,
Weblabz,IT Services and IT Consulting
,
Zymr,IT Services and IT Consulting
,
Harman,Food and Beverage Manufacturing
,
Dealertrack,Software Development
,
Spintel,Telecommunications
,
InfoSolutions,Software Development
,
Headstrong,IT Services and IT Consulting
,
Markit,Information Services
,
MGL,Construction
,
PROVAB,IT Services and IT Consulting
,
Neotel,"Appliances, Electrical, and Electronics Manufacturing"
,
Invensys,Automation Machinery Manufacturing
,
Knowledgent,IT Services and IT Consulting
,
CommonApp,Higher Education
,
Electrolux,Manufacturing
,
3i-Infotech,IT Services and IT Consulting
,
A&E,Retail Apparel and Fashion
,
AACC,Financial Services
,
AAO,Retail
,
Aarna,Retail Apparel and Fashion
,
ABBACUS,Architecture and Planning
,
Abbot,Human Resources Services
,
ABFM,Non-profit Organizations
,
ABG,Legal Services
,
Abhibus,Travel Arrangements
,
ABI,Business Consulting and Services
,
ABJAYON,Software Development
,
ABM,Industrial Machinery Manufacturing
,
Absa,Financial Services
,
