"Source","Destination","Relation"
"WITS","Computer Hardware Manufacturing","""type of company"""
"AudienceScience","Technology, Information and Internet","""type of company"""
"Pearson","Education","""type of company"""
"Rockwell","Truck Transportation","""type of company"""
"cognizant","IT Services and IT Consulting","""type of company"""
"TBI","Construction","""type of company"""
"Paradigm","Design Services","""type of company"""
"Electrica","Utilities","""type of company"""
"Mphasis","IT Services and IT Consulting","""type of company"""
"Clarion","Appliances, Electrical, and Electronics Manufacturing","""type of company"""
"Dynamisch","IT Services and IT Consulting","""type of company"""
"NEWGEN","Software Development","""type of company"""
"CitiusTech","IT Services and IT Consulting","""type of company"""
"Xoriant","IT Services and IT Consulting","""type of company"""
"Zobble","E-Learning Providers","""type of company"""
"L&T","Facilities Services","""type of company"""
"AXIS","Advertising Services","""type of company"""
"DataMetica","IT Services and IT Consulting","""type of company"""
"ATT","Telecommunications","""type of company"""
"EdgeVerve","Software Development","""type of company"""
"Crest","Appliances, Electrical, and Electronics Manufacturing","""type of company"""
"Prokarma","IT Services and IT Consulting","""type of company"""
"CredR","Motor Vehicle Manufacturing","""type of company"""
"LFG","IT Services and IT Consulting","""type of company"""
"GSB","IT Services and IT Consulting","""type of company"""
"RCB","Investment Banking","""type of company"""
"Telco","Telecommunications","""type of company"""
"Finicity","Financial Services","""type of company"""
"Infostretch","IT Services and IT Consulting","""type of company"""
"Equinix","Technology, Information and Internet","""type of company"""
"Pte","Oil and Gas","""type of company"""
"Sashay","Retail Apparel and Fashion","""type of company"""
"groupon","Technology, Information and Internet","""type of company"""
"NDTV","Broadcast Media Production and Distribution","""type of company"""
"Yahoo","Technology, Information and Internet","""type of company"""
"PwC","Professional Services","""type of company"""
"EDS","Hospitals and Health Care","""type of company"""
"Addteq","IT Services and IT Consulting","""type of company"""
"ATLAS","Technology, Information and Internet","""type of company"""
"Philips","Hospitals and Health Care","""type of company"""
"I2DS","IT Services and IT Consulting","""type of company"""
"Timex","Wholesale Import and Export","""type of company"""
"globant","IT Services and IT Consulting","""type of company"""
"Tavisca","IT Services and IT Consulting","""type of company"""
"GS-Lab","Software Development","""type of company"""
"Pubmatic","Technology, Information and Internet","""type of company"""
"Cuelogic","Consumer Services","""type of company"""
"GENWI","Technology, Information and Internet","""type of company"""
"Valuelabs","IT Services and IT Consulting","""type of company"""
"NIC","Human Resources Services","""type of company"""
"BSNL","Telecommunications","""type of company"""
"PGCL","Business Consulting and Services","""type of company"""
"UpGrad","Higher Education","""type of company"""
"Convergence","IT Services and IT Consulting","""type of company"""
"Gartner","Information Services","""type of company"""
"Forrester","Veterinary Services","""type of company"""
"Cybage","IT Services and IT Consulting","""type of company"""
"IMPETUS","IT Services and IT Consulting","""type of company"""
"IBN","Broadcast Media Production and Distribution","""type of company"""
"Neosoft","IT Services and IT Consulting","""type of company"""
"LUKUP","Online Audio and Video Media","""type of company"""
"SEI","Financial Services","""type of company"""
"VSNL","Civic and Social Organizations","""type of company"""
"Infologic","Software Development","""type of company"""
"NeoAccel","IT Services and IT Consulting","""type of company"""
"Knexus","Technology, Information and Internet","""type of company"""
"Mitratech","Software Development","""type of company"""
"Responsys","Software Development","""type of company"""
"Northgate","Transportation, Logistics, Supply Chain and Storage","""type of company"""
"Exa","Advertising Services","""type of company"""
"LearningMate","E-Learning Providers","""type of company"""
"Elsevier","IT Services and IT Consulting","""type of company"""
"Reed","Staffing and Recruiting","""type of company"""
"Extramarks","E-Learning Providers","""type of company"""
"Saama","Business Consulting and Services","""type of company"""
"Concepto","Software Development","""type of company"""
"Versa","Entertainment Providers","""type of company"""
"EMC","Business Consulting and Services","""type of company"""
"Lucid","Pharmaceutical Manufacturing","""type of company"""
"ESI","Education Administration Programs","""type of company"""
"Definitics","Consumer Services","""type of company"""
"Magic","Technology, Information and Internet","""type of company"""
"EBix","Software Development","""type of company"""
"Unilever","Manufacturing","""type of company"""
"Tecsol","Environmental Services","""type of company"""
"Dreeme","Technology, Information and Internet","""type of company"""
"Wiltech","Business Consulting and Services","""type of company"""
"Nesote","Software Development","""type of company"""
"MasterCard","IT Services and IT Consulting","""type of company"""
"Artech","Food and Beverage Manufacturing","""type of company"""
"STPL","IT Services and IT Consulting","""type of company"""
"ACIworldwide","Financial Services","""type of company"""
"Interdin","Financial Services","""type of company"""
"INC","Software Development","""type of company"""
"Basware","IT Services and IT Consulting","""type of company"""
"InnoData","IT Services and IT Consulting","""type of company"""
"Cloudmoyo","IT Services and IT Consulting","""type of company"""
"AbbVie","Pharmaceutical Manufacturing","""type of company"""
"IDC","Market Research","""type of company"""
"WIPO","International Affairs","""type of company"""
"Cablevision","Telecommunications","""type of company"""
"D-Mart","Insurance","""type of company"""
"ForgeAhead","IT Services and IT Consulting","""type of company"""
"Verizon","IT Services and IT Consulting","""type of company"""
"BNYM","Retail","""type of company"""
"UBER","Advertising Services","""type of company"""
"TravelGuru","Travel Arrangements","""type of company"""
"SAS","Software Development","""type of company"""
"Sworx18","Technology, Information and Internet","""type of company"""
"Seagate","Entertainment Providers","""type of company"""
"Jawbone","Wellness and Fitness Services","""type of company"""
"Sunlife","Renewable Energy Semiconductor Manufacturing","""type of company"""
"Astute","Financial Services","""type of company"""
"CITYCELL","Telecommunications","""type of company"""
"Searce","Market Research","""type of company"""
"Feecounter","IT Services and IT Consulting","""type of company"""
"iPay","IT Services and IT Consulting","""type of company"""
"OPUS","Software Development","""type of company"""
"Spigit","Software Development","""type of company"""
"DRDO","Airlines and Aviation","""type of company"""
"Symantec","Software Development","""type of company"""
"ONGC","Oil and Gas","""type of company"""
"SIGMA-ALDRICH","Biotechnology Research","""type of company"""
"UNESCO","International Affairs","""type of company"""
"Videocon","Advertising Services","""type of company"""
"Euronet","Technology, Information and Internet","""type of company"""
"Hungama","Entertainment Providers","""type of company"""
"Airtel","Telecommunications","""type of company"""
"Zarafa","IT Services and IT Consulting","""type of company"""
"iCrossing","Advertising Services","""type of company"""
"MediaCom","Advertising Services","""type of company"""
"Marlboro","Tobacco Manufacturing","""type of company"""
"NETTECH","Computer Networking Products","""type of company"""
"ONEIC","Investment Management","""type of company"""
"TechM","IT Services","""type of company"""
"MILAGRO","IT Services and IT Consulting","""type of company"""
"Technix","Human Resources Services","""type of company"""
