,source,target
191,NSU ," Norfolk State University, Northern State University (South Dakota), Northeastern State University (Oklahoma), Northwestern State University (Louisiana), Nova Southeastern University"
192,NVU , Northern Vermont University
193,NW ," Northwestern University, technically incorrect"
194,NWMSU , Northwest Missouri State University
195,NYIT , New York Institute of Technology; New York Tech
196,NYMC , New York Medical College
197,NYU , New York University
198,OC , Oklahoma Christian University
199,OCC , Orange Coast College
200,OCU , Oklahoma City University
201,ODU ," Ohio Dominican University, Old Dominion University"
202,OIT , Oregon Institute of Technology
203,OK State , Oklahoma State University
204,Ole Miss , University of Mississippi
205,ONU , Ohio Northern University
206,ORU , Oral Roberts University
207,OSU ," Ohio State University, Oklahoma State University, Oregon State University"
208,OU ," Oakland University, Ohio University, University of Oklahoma, Oakwood University"
209,Oxy , Occidental College
210,Pacific , University of the Pacific
211,PC , Providence College
212,PCC ," Pasadena City College, Pensacola Christian College, Pima Community College, Polk Community College, Portland Community College, Pueblo Community College"
213,Penn , University of Pennsylvania
214,Penn State , Pennsylvania State University
215,Pitt , University of Pittsburgh
216,PLNU , Point Loma Nazarene University
217,POM , Pomona College
218,PSU ," Pennsylvania State University, Pittsburg State University, Portland State University, Plymouth State University"
219,PTS , Princeton Theological Seminary
220,PVAMU , Prairie View A&M University
221,QU , Quinnipiac University
222,Reserve , Case Western Reserve University
223,RHIT , Rose-Hulman Institute of Technology
224,RIC , Rhode Island College
225,RISD , Rhode Island School of Design
226,RIT , Rochester Institute of Technology
227,RMU , Robert Morris University
228,R-MWC , Randolph-Macon Woman's College
229,RPI , Rensselaer Polytechnic Institute
230,RU , Rutgers University
231,RWU , Roger Williams University
232,Sacramento State / Sac State ," California State University, Sacramento"
233,SBU , St. Bonaventure University
234,SC ," University of Southern California, University of South Carolina"
235,SCSU ," South Carolina State University, Southern Connecticut State University"
236,Scripps ," Scripps College, Scripps Institution of Oceanography"
237,SCU , Santa Clara University
238,SDSM&T , South Dakota School of Mines and Technology
239,SDSU ," South Dakota State University, San Diego State University"
240,SFSU , San Francisco State University
241,SEMo , Southeast Missouri State University
242,Sewanee , University of the South
243,SHC , Spring Hill College
244,SIU or SIUC , Southern Illinois University Carbondale
245,SIUE , Southern Illinois University Edwardsville
246,SJC , St. John's College
247,SJFC , St. John Fisher College
248,SJSU , San Jose State University
249,SJU ," Saint Joseph's University, St. John's University (NY)"
250,SLU ," Saint Louis University, St. Lawrence University, Saint Leo University"
251,SMC , St. Mary's College (CA)
252,SMU , Southern Methodist University
253,SNHU , Southern New Hampshire University
254,SOSU , Southeastern Oklahoma State University
255,SPU , Seattle Pacific University
256,SRU , Slippery Rock University of Pennsylvania
257,Stanislaus State or Stan State ," California State University, Stanislaus"
258,SSU ," Savannah State University, California State University, Sonoma"
259,State , any of various state universities
260,SU ," Southwestern University, Shenandoah University, Southern University, Susquehanna University, Syracuse University, Salisbury University, Samford University, Schreiner University"
261,SUI , State University of Iowa
262,SUU , Southern Utah University
263,SUNY , State University of New York system
264,Swat , Swarthmore College
265,SWOSU , Southwestern Oklahoma State University
266,TAMU , Texas A&M University
267,TCNJ , The College of New Jersey
268,TCU , Texas Christian University
269,Tech ," any ""Institute of Technology,"" ""Tech University,"" ""Polytechnic,"" etc. (See list of institutions using the term ""institute of technology"" or ""polytechnic"")"
270,Transy , Transylvania University
271,TSU ," Tarleton State University, Tennessee State University, Texas Southern University, Truman State University"
272,TTU ," Texas Tech University, Tennessee Technological University"
273,TU ," Temple University, Towson University, Tufts University, Tulane University, Tuskegee University, University of Tulsa"
274,The U ," University of Miami, University of Minnesota, University of Utah"
275,U of A ," University of Arizona, University of Arkansas"
276,U of U , University of Utah
277,UA ," University of Akron, University of Alabama, University of Arizona"
278,UAA , University of Alaska Anchorage
279,UAB , University of Alabama at Birmingham
280,UAF , University of Alaska Fairbanks
281,UAH , University of Alabama in Huntsville
282,UALR , University of Arkansas at Little Rock
283,UAM , University of Arkansas at Monticello
284,UAPB , University of Arkansas at Pine Bluff
285,UB ," University of Baltimore, University at Buffalo, University of Bridgeport"
286,UChicago or U of C , University of Chicago
287,UC ," University of California system, University of Chicago, University of Cincinnati, University of the Cumberlands"
288,UCB , University of Colorado Boulder
289,UC Berkeley ," University of California, Berkeley"
290,UC Davis ," University of California, Davis"
