,source,target
308,Ville,None
309,Krushnanagar,None
310,Mansion,region
311,gaon,None
312,Taluka,None
313,Undri,None
314,Saudagar,None
315,HNO,None
316,Marvel,happening
317,colony,body
318,kalptaru,None
319,Rasta,disciple
320,Rajlaxmi,None
321,Sonigara,None
322,Siraspeth,None
323,Kudissika,None
324,Vilakam,None
325,Triose,monosaccharide
326,NANDBHAVAN,None
327,Vinobhabhave,None
328,Midori,None
329,Slock,None
330,Solage,None
331,Manzil,None
332,AthashriApartment,None
333,Waichale,None
334,Sarveshwaram,None
335,Aishwaryam,None
336,Ambedker,None
337,niljyoti,None
338,Saneguruji,None
339,aai,None
340,Panchayat,council
341,ace,digit
342,Maga,None
343,Puraniks,None
344,Gadital,None
345,Stud,man
346,Dhayreshwar,None
347,binawat,None
348,Sukhakarta,None
349,pase,None
350,Dharamshala,None
351,Palza,None
352,HEC,None
353,Sargam,None
354,Hou,None
355,Miracle,happening
356,Elementa,None
357,Kalpatru,None
358,tekdi,None
359,Shalimar,None
360,Bypass,highway
361,Jarvari,None
362,Amrai,None
363,Chhota,None
364,Sankul,None
365,Upper,berth
366,Wellworth,None
367,Kudurucheemana,None
368,Arcade,passageway
369,Kapasmil,None
370,flyover,bridge
371,PEBBLE,rock
372,Sangarsh,None
373,Wadachiwadi,None
374,LIG,None
375,Kokane,None
376,Kripa,None
377,Byagehalli,None
378,Helioconia,None
379,Tukai,None
380,Lane,way
381,Mera,None
382,Westville,None
383,kalat,None
384,Residensy,None
385,AddressFlat,None
386,Tulip,liliaceous_plant
387,Vishveshwarayya,None
388,Kamothe,None
389,Ravinagar,None
390,Parkhewasti,None
391,Deepsagar,None
392,Kamlalaya,None
393,Omex,None
394,2704,None
395,Spacio,None
396,Pratic,None
397,Dhavel,None
398,Parklane,None
399,Jaihind,None
400,Glory,honor
401,Shindevasti,None
402,Badnera,None
403,residencies,act
404,shivan,None
405,Bellevue,None
406,21098,None
407,Kalpa,None
408,Chhatraband,None
409,Patlipada,None
410,dist,None
411,NearGaneshTemple,None
412,GaneshColony,None
413,Laxhmidham,None
414,Shantiniketan,None
415,SARGAM,None
416,Mawali,None
417,Chal,None
418,Ashirbad,None
419,Grande,None
420,Tea,beverage
421,Sus,mammal_genus
422,Buiding,None
423,Gokulnagar,None
424,BWing,None
425,Jehan,None
426,kanapalli,None
427,Kopre,None
428,Vyankateshwara,None
429,Bungalow,house
430,Karjatroad,None
431,Fort,military_post
