,source,target
226,QUALIFICATIO,None
227,QULIFICATION,None
228,EDUCATIONALSUMMARY,None
229,QUALIFICAION,None
230,Educatio,None
231,EDUCATIONALQUALIFICATION,None
232,EDUCATIOAL,None
233,ASPECT,sector
234,ASPECT,side
235,ASPECT,surface
236,DISCIPLINE,allometry
237,DISCIPLINE,architecture
238,DISCIPLINE,bibliotics
239,DISCIPLINE,communications
240,DISCIPLINE,engineering
241,DISCIPLINE,escapology
242,DISCIPLINE,frontier
243,DISCIPLINE,futurology
244,DISCIPLINE,genealogy
245,DISCIPLINE,graphology
246,DISCIPLINE,humanistic_discipline
247,DISCIPLINE,major
248,DISCIPLINE,military_science
249,DISCIPLINE,numerology
250,DISCIPLINE,occultism
251,DISCIPLINE,ology
252,DISCIPLINE,protology
253,DISCIPLINE,science
254,DISCIPLINE,theogony
255,DISCIPLINE,theology
256,Degrees,amplitude_level
257,Degrees,depth
258,Degrees,extreme
259,Degrees,grind
260,Degrees,high
261,Degrees,highness
262,Degrees,immoderation
263,Degrees,intensity
264,Degrees,low
265,Degrees,lowness
266,Degrees,moderation
267,Degrees,quality
268,Degrees,sun_protection_factor
269,constitutes,compose
270,constitutes,fall_into
271,constitutes,form
272,constitutes,make
273,constitutes,present
274,constitutes,range
275,constitutes,supplement
276,Qualification,eligibility
277,Qualification,ineligibility
278,EducationalQualifications,None
279,Qualifications,eligibility
280,Qualifications,ineligibility
281,DEATILS,None
282,EducationQualification,None
283,EducationalQualification,None
284,ACADAMICS,None
285,EDUCATIONS,coeducation
286,EDUCATIONS,continuing_education
287,EDUCATIONS,course
288,EDUCATIONS,elementary_education
289,EDUCATIONS,extension
290,EDUCATIONS,extracurricular_activity
291,EDUCATIONS,higher_education
292,EDUCATIONS,secondary_education
293,EDUCATIONS,team_teaching
294,EDUCATIONS,work-study_program
295,QUALIFIACTION,None
296,ducational,None
297,Qualifica,None
298,InstitutionName,None
299,UniversityYear,None
300,ACCADEMIC,None
301,AcademicProfile,None
302,QUALLIFICATION,None
303,QUALIFICATIONDETAILS,None
304,EducationiDetailsi,None
305,EducationalProfile,None
306,AcademicQualification,None
307,ACEDAMIC,None
308,ACADEMICDETAILS,None
309,EDUCATIONALDETAILS,None
